Elapsed Time,Log,RIP Resp,PPG PulseOx1,Heart Rate PulseOx1,Grip Strength Sensor 1,SpO2 PulseOx1,Pulse d(Trace)/dt,Pulse d2(Trace)/dt2,Pulse Rate (BPM),d(Pulse Rate)/dt (BPMPM),Pulse Interval (ms),Pulse RMSSD (ms),Pulse SDNN (BPM),Pulse P50 (%),Pulse Live Residual
602.27203, ,-0.1875,81.51003,49,519.4665,98,0.05859375,-0.0390625,45.433228,-23.272642,2680,301.9034,7.020233,44.444447,81.51003
602.276, ,-0.1875,81.51003,49,519.2523,98,0.05859375,-0.0390625,45.433228,-23.272642,2680,301.9034,7.020233,44.444447,81.51003
602.28, ,-0.1875,81.51003,49,519.2523,98,0.05859375,-0.0390625,45.433228,-23.272642,2680,301.9034,7.020233,44.444447,81.51003
602.28406, ,-0.1875,81.54665,49,519.2523,98,0.036621094,-0.021972656,45.433228,-23.272642,2680,301.9034,7.020233,44.444447,81.54665
602.288, ,-0.1875,81.54665,49,519.2523,98,0.036621094,-0.021972656,45.433228,-23.272642,2680,301.9034,7.020233,44.444447,81.54665
602.29205, ,-0.1875,81.54665,49,519.4665,98,0.036621094,-0.021972656,45.433228,-23.272642,2680,301.9034,7.020233,44.444447,81.54665
602.296, ,-0.1875,81.58083,49,519.2523,98,0.034179688,-0.0024414063,46.09843,-15.223977,1253.3334,553.1013,6.9544387,44.444447,79.95371
602.30005, ,-0.1875,81.58083,49,519.2523,98,0.034179688,-0.0024414063,46.09843,-15.223977,1253.3334,553.1013,6.9544387,44.444447,79.95371
602.304, ,-0.1875,81.58083,49,519.4665,98,0.034179688,-0.0024414063,46.09843,-15.223977,1253.3334,553.1013,6.9544387,44.444447,79.95371
602.30804, ,-0.1875,81.61013,49,519.4665,98,0.029296875,-0.0048828125,46.09843,-15.223977,1253.3334,553.1013,6.9544387,44.444447,80.28954
602.312, ,-0.1875,81.61013,49,519.4665,98,0.029296875,-0.0048828125,46.09843,-15.223977,1253.3334,553.1013,6.9544387,44.444447,80.28954
602.31604, ,-0.1875,81.61013,49,519.4665,98,0.029296875,-0.0048828125,46.09843,-15.223977,1253.3334,553.1013,6.9544387,44.444447,80.28954
602.32, ,-0.1875,81.636986,49,519.4665,98,0.026855469,-0.0024414063,46.09843,-15.223977,1253.3334,553.1013,6.9544387,44.444447,80.6531
602.32404, ,-0.1875,81.636986,49,519.2523,98,0.026855469,-0.0024414063,46.09843,-15.223977,1253.3334,553.1013,6.9544387,44.444447,80.6531
602.328, ,-0.1875,81.636986,49,519.2523,98,0.026855469,-0.0024414063,46.09843,-15.223977,1253.3334,553.1013,6.9544387,44.444447,80.6531
602.33203, ,-0.1875,81.636986,49,519.4665,98,0.026855469,-0.0024414063,46.09843,-15.223977,1253.3334,553.1013,6.9544387,44.444447,80.6531
602.336, ,-0.1875,81.6614,49,519.4665,98,0.024414063,-0.0024414063,46.09843,-15.223977,1253.3334,553.1013,6.9544387,44.444447,81.01414
602.34, ,-0.1875,81.6614,49,519.2523,98,0.024414063,-0.0024414063,46.09843,-15.223977,1253.3334,553.1013,6.9544387,44.444447,81.01414
602.34406, ,-0.1875,81.6614,49,519.4665,98,0.024414063,-0.0024414063,46.09843,-15.223977,1253.3334,553.1013,6.9544387,44.444447,81.01414
