PPG PulseOx1, RIPResp1, Heart Rate PulseOx1, Temperature Sensor 1, RIPResp2, SpO2 PulseOx1, Pulse d(Trace)/dt, Pulse d2(Trace)/dt2, Pulse Rate (BPM), d(Pulse Rate)/dt (BPMPM), Pulse Interval (ms), Pulse RMSSD (ms), Pulse SDNN (BPM), Pulse P50 (%), Smoothed RIP Resp1, Smoothed RIP Resp2, Breathing Rate (BPM), d(Breathing Rate)/dt (BPMPM), Interval (s), Inspiration (%), d(Inspiration)/dt (%PM), Breathing RMSSD (s), Breathing SDNN (BPM)
76.84932,-0.018516228,61,23.966816,-0.012029171,98,-0.017089844,-0.036621094,56.23473,-47.11464,1019.24884,42.06223,3.644034,11.111112,-0.01744811,-0.011082061,19.77014,16.365133,1.7937491,52.876938,53.114193,1.7766696,11.305182
76.81514,-0.0145242065,61,24.03445,-0.008138806,98,-0.034179688,-0.017089844,56.23473,-47.11464,1019.24884,42.06223,3.644034,11.111112,-0.017453386,-0.011086943,19.77014,16.365133,1.7937491,52.876938,53.114193,1.7766696,11.305182
76.81514,-0.014883488,61,23.966816,-0.008603722,98,-0.034179688,-0.017089844,56.23473,-47.11464,1019.24884,42.06223,3.644034,11.111112,-0.017449513,-0.011082843,19.77014,16.365133,1.7937491,52.876938,53.114193,1.7766696,11.305182
76.81514,-0.018564038,61,24.011908,-0.012285568,98,-0.034179688,-0.017089844,56.23473,-47.11464,1019.24884,42.06223,3.644034,11.111112,-0.01743979,-0.011073447,19.77014,16.365133,1.7937491,52.876938,53.114193,1.7766696,11.305182
76.78584,-0.020733297,61,24.03445,-0.014333524,98,-0.029296875,0.0048828125,56.23473,-47.11464,1019.24884,42.06223,3.644034,11.111112,-0.017444251,-0.011078158,19.77014,16.365133,1.7937491,52.876938,53.114193,1.7766696,11.305182
76.78584,-0.018586032,61,23.94427,-0.012100875,98,-0.029296875,0.0048828125,56.23473,-47.11464,1019.24884,42.06223,3.644034,11.111112,-0.017458213,-0.011092499,19.77014,16.365133,1.7937491,52.876938,53.114193,1.7766696,11.305182
76.78584,-0.014563568,61,23.966816,-0.008180335,98,-0.029296875,0.0048828125,56.23473,-47.11464,1019.24884,42.06223,3.644034,11.111112,-0.017466085,-0.011100805,19.77014,16.365133,1.7937491,52.876938,53.114193,1.7766696,11.305182
76.78584,-0.014857516,61,24.011908,-0.008580521,98,-0.029296875,0.0048828125,56.23473,-47.11464,1019.24884,42.06223,3.644034,11.111112,-0.01746089,-0.011096165,19.77014,16.365133,1.7937491,52.876938,53.114193,1.7766696,11.305182
76.81026,-0.018501185,61,23.966816,-0.012228437,98,0.024414063,0.053710938,56.23473,-47.11464,1019.24884,42.06223,3.644034,11.111112,-0.01744832,-0.011084738,19.77014,16.365133,1.7937491,52.876938,53.114193,1.7766696,11.305182
76.81026,-0.020730056,61,23.989363,-0.014336072,98,0.024414063,0.053710938,56.23473,-47.11464,1019.24884,42.06223,3.644034,11.111112,-0.01744767,-0.011085249,19.77014,16.365133,1.7937491,52.876938,53.114193,1.7766696,11.305182
76.81026,-0.01861377,61,23.966816,-0.012132995,98,0.024414063,0.053710938,56.23473,-47.11464,1019.24884,42.06223,3.644034,11.111112,-0.01745322,-0.011091672,19.77014,16.365133,1.7937491,52.876938,53.114193,1.7766696,11.305182
76.946976,-0.014568485,61,23.92172,-0.008189812,98,0.13671875,0.11230469,56.23473,-47.11464,1019.24884,42.06223,3.644034,11.111112,-0.017454203,-0.011093567,19.77014,16.365133,1.7937491,52.876938,53.114193,1.7766696,11.305182
76.946976,-0.014804967,61,24.03445,-0.008533403,98,0.13671875,0.11230469,56.23473,-47.11464,1019.24884,42.06223,3.644034,11.111112,-0.017443692,-0.011084144,19.77014,16.365133,1.7937491,52.876938,53.114193,1.7766696,11.305182
76.946976,-0.018428273,61,23.989363,-0.012163259,98,0.13671875,0.11230469,56.23473,-47.11464,1019.24884,42.06223,3.644034,11.111112,-0.017429112,-0.011071108,19.77014,16.365133,1.7937491,52.876938,53.114193,1.7766696,11.305182
77.21065,-0.020710252,61,23.94427,-0.014324136,98,0.26367188,0.12695313,56.23473,-47.11464,1019.24884,42.06223,3.644034,11.111112,-0.01742515,-0.011068721,19.77014,16.365133,1.7937491,52.876938,53.114193,1.7766696,11.305182
77.21065,-0.018637374,61,24.011908,-0.012164287,98,0.26367188,0.12695313,56.23473,-47.11464,1019.24884,42.06223,3.644034,11.111112,-0.017429871,-0.01107498,19.77014,16.365133,1.7937491,52.876938,53.114193,1.7766696,11.305182
77.21065,-0.014570095,61,23.94427,-0.008198082,98,0.26367188,0.12695313,56.23473,-47.11464,1019.24884,42.06223,3.644034,11.111112,-0.017430192,-0.011076634,19.77014,16.365133,1.7937491,52.876938,53.114193,1.7766696,11.305182
77.21065,-0.014755614,61,23.966816,-0.008491248,98,0.26367188,0.12695313,56.23473,-47.11464,1019.24884,42.06223,3.644034,11.111112,-0.017420322,-0.011068203,19.77014,16.365133,1.7937491,52.876938,53.114193,1.7766696,11.305182
77.63058,-0.018330865,61,24.079538,-0.012075238,98,0.4199295,0.15625,56.23473,-47.11464,1019.24884,42.06223,3.644034,11.111112,-0.01740084,-0.011050599,19.77014,16.365133,1.7937491,52.876938,53.114193,1.7766696,11.305182
77.63058,-0.020675339,61,23.94427,-0.014298767,98,0.4199295,0.15625,56.23473,-47.11464,1019.24884,42.06223,3.644034,11.111112,-0.017393857,-0.011045525,19.77014,16.365133,1.7937491,52.876938,53.114193,1.7766696,11.305182
77.63058,-0.018655881,61,23.966816,-0.012192227,98,0.4199295,0.15625,56.23473,-47.11464,1019.24884,42.06223,3.644034,11.111112,-0.017397558,-0.011051113,19.77014,16.365133,1.7937491,52.876938,53.114193,1.7766696,11.305182
78.260475,-0.0145654455,61,23.989363,-0.008203156,98,0.6298981,0.2099762,56.23473,-47.11464,1019.24884,42.06223,3.644034,11.111112,-0.017396629,-0.011052127,19.77014,16.365133,1.7937491,52.876938,53.114193,1.7766696,11.305182
78.260475,-0.014687218,61,23.94427,-0.0084328875,98,0.6298981,0.2099762,56.23473,-47.11464,1019.24884,42.06223,3.644034,11.111112,-0.01738295,-0.011040456,19.77014,16.365133,1.7937491,52.876938,53.114193,1.7766696,11.305182
78.260475,-0.018226929,61,24.03445,-0.01198516,98,0.6298981,0.2099762,56.23473,-47.11464,1019.24884,42.06223,3.644034,11.111112,-0.017362162,-0.01102244,19.77014,16.365133,1.7937491,52.876938,53.114193,1.7766696,11.305182
79.10033,-0.020633385,61,23.989363,-0.014270045,98,0.8398514,0.20994568,56.23473,-47.11464,1019.24884,42.06223,3.644034,11.111112,-0.017353771,-0.011016696,19.77014,16.365133,1.7937491,52.876938,53.114193,1.7766696,11.305182
79.10033,-0.018638715,61,23.92172,-0.012186907,98,0.8398514,0.20994568,56.23473,-47.11464,1019.24884,42.06223,3.644034,11.111112,-0.017350338,-0.011015631,19.77014,16.365133,1.7937491,52.876938,53.114193,1.7766696,11.305182
79.10033,-0.01452034,61,24.011908,-0.008168846,98,0.8398514,0.20994568,56.23473,-47.11464,1019.24884,42.06223,3.644034,11.111112,-0.017341318,-0.011008769,19.77014,16.365133,1.7937491,52.876938,53.114193,1.7766696,11.305182
80.11597,-0.014588244,61,23.94427,-0.008345179,98,1.0156403,0.17578125,56.23473,-47.11464,1019.24884,42.06223,3.644034,11.111112,-0.017321523,-0.010991228,19.77014,16.365133,1.7937491,52.876938,53.114193,1.7766696,11.305182
80.11597,-0.0181012,61,23.989363,-0.011872977,98,1.0156403,0.17578125,56.23473,-47.11464,1019.24884,42.06223,3.644034,11.111112,-0.017296378,-0.010968791,19.77014,16.365133,1.7937491,52.876938,53.114193,1.7766696,11.305182
